NAME;ID;DATA
Республика Адыгея;0;113
Алтайский край;1;547
Амурская область;2;803
Архангельская область;3;477
Астраханская область;4;760
Республика Башкортостан;5;1839
Белгородская область;6;874
Брянская область;7;371
Республика Бурятия;8;197
Чеченская Республика;9;310
Челябинская область;10;1351
Чукотский автономный округ;11;73
Чувашская Республика - Чувашия;12;1429
Город Санкт-Петербург;13;3433
Республика Дагестан;14;1211
Республика Алтай;15;64
Республика Ингушетия;16;62
Иркутская область;17;1468
Ивановская область;18;176
Кабардино-Балкарская Республика;19;160
Калининградская область;20;501
Республика Калмыкия;21;81
Калужская область;22;563
Камчатский край;23;155
Карачаево-Черкесская Республика;24;94
Республика Карелия;25;205
Кемеровская область;26;1417
Хабаровский край;27;791
Республика Хакасия;28;192
Ханты-Мансийский автономный округ - Югра;29;5362
Кировская область;30;257
Республика Коми;31;1226
Костромская область;32;150
Краснодарский край;33;3837
Красноярский край;34;2539
Курганская область;35;182
Курская область;36;534
Ленинрадская область;37;1805
Липецкая область;38;769
Магаданская область;39;271
Республика Марий-Эл;40;217
Республика Мордовия;41;279
Город Москва;42;9429
Московская область;43;4017
Мурманская область;44;484
Ненецкий автономный округ;45;581
Нижегородская область;46;1556
Республика Северная Осетия-Алания;47;114
Новгородская область;48;298
Новосибирская область;49;1076
Омская область;50;646
Орловская область;51;286
Оренбургская область;52;1127
Пензенская область;53;489
Пермский край;54;1429
Приморский край;55;772
Псковская область;56;171
Ростовская область;57;1565
Рязанская область;58;373
Республика Саха - Якутия;59;1614
Сахалинская область;60;1273
Самарская область;61;1701
Саратовская область;62;891
Смоленская область;63;368
Ставропольский край;64;817
Свердловская область;65;2202
Тамбовская область;66;636
Республика Татарстан;67;3732
Томская область;68;673
Тульская область;69;717
Республика Тыва;70;62
Тверская область;71;458
Тюменская область;72;1613
Республика Удмуртия;73;516
Ульяновская область;74;478
Владимирская область;75;440
Волгоградская область;76;1089
Вологодская область;77;743
Воронежская область;78;1450
Ямало-Ненецкий автономный округ;79;5540
Ярославская область;80;544
Еврейская автономная область;81;82
Забайкальский край;82;471
Республика Крым;83;370
Город Севастополь;84;66
